UAvg,IA,IB,IC,UTHDAvg,ITHDAvg,PF,F,PSum,SSum,Iavg,Deviation_A,Deviation_B,Deviation_C,Max_Deviation,Current_Imbalance_%,Status
170.96,105.54,94.01,102.0,2.483,36.214,0.896,59.97,26320.13,29384.58,100.51666666666667,5.0233333333333405,6.506666666666661,1.4833333333333343,6.506666666666661,6.473221687945609,Normal
172.93,99.18,89.06,96.4,2.476,36.073,0.896,60.09,25147.06,28075.06,94.88,4.300000000000011,5.819999999999993,1.5200000000000102,5.819999999999993,6.134064080944344,Normal
173.49,94.11,83.47,90.68,2.375,37.188,0.896,60.14,23756.43,26516.19,89.42,4.689999999999998,5.950000000000003,1.2600000000000051,5.950000000000003,6.653992395437265,Normal
174.41,91.78,82.29,88.96,2.364,37.386,0.892,60.13,23337.4,26164.05,87.67666666666666,4.103333333333339,5.386666666666656,1.2833333333333314,5.386666666666656,6.143785879937638,Normal
173.07,93.53,82.92,90.26,2.587,37.837,0.892,59.97,23464.88,26293.77,88.90333333333332,4.626666666666679,5.98333333333332,1.3566666666666833,5.98333333333332,6.7301563495931775,Normal
173.28,92.42,81.74,89.68,2.365,38.322,0.894,60.15,23277.28,26028.17,87.94666666666667,4.473333333333329,6.206666666666678,1.7333333333333343,6.206666666666678,7.057307459066113,Normal
172.9,95.09,84.57,91.56,2.544,37.426,0.892,59.92,23850.21,26728.88,90.40666666666668,4.683333333333323,5.836666666666687,1.1533333333333218,5.836666666666687,6.456013568320943,Normal
173.13,90.54,79.79,87.16,2.37,38.548,0.894,59.94,22681.07,25379.91,85.83,4.710000000000008,6.039999999999992,1.3299999999999983,6.039999999999992,7.037166491902588,Normal
173.08,93.72,82.94,90.71,2.382,38.1,0.894,60.11,23552.93,26353.07,89.12333333333333,4.596666666666664,6.183333333333337,1.586666666666659,6.183333333333337,6.937951153831773,Normal
173.27,88.62,77.76,85.11,2.577,37.924,0.897,60.13,22242.42,24798.33,83.83,4.790000000000006,6.069999999999993,1.2800000000000011,6.069999999999993,7.240844566384341,Normal
172.99,79.68,69.27,76.73,2.433,41.73,0.889,60.03,19724.8,22185.64,75.22666666666667,4.453333333333333,5.956666666666678,1.5033333333333303,5.956666666666678,7.918291386033335,Normal
173.33,89.79,78.38,86.52,2.518,39.832,0.893,60.01,22426.83,25100.86,84.89666666666666,4.893333333333345,6.516666666666666,1.6233333333333348,6.516666666666666,7.675998272409595,Normal
173.48,95.78,82.97,92.1,2.574,40.145,0.893,59.91,23833.24,26692.38,90.28333333333335,5.4966666666666555,7.313333333333347,1.8166666666666487,7.313333333333347,8.10042458925606,Normal
173.85,85.94,74.27,82.69,2.386,39.819,0.895,59.92,21466.17,23983.18,80.96666666666665,4.973333333333343,6.696666666666658,1.7233333333333434,6.696666666666658,8.270893371757916,Normal
174.42,91.32,79.38,87.49,2.434,39.532,0.893,60.03,22871.8,25600.99,86.06333333333333,5.256666666666661,6.683333333333337,1.4266666666666623,6.683333333333337,7.765598977497197,Normal
175.24,81.97,70.17,78.7,2.369,42.227,0.893,60.03,20489.85,22947.86,76.94666666666666,5.0233333333333405,6.776666666666657,1.7533333333333445,6.776666666666657,8.806965863801755,Normal
173.03,82.42,70.44,79.0,2.354,41.904,0.893,60.18,20317.37,22756.05,77.28666666666668,5.133333333333326,6.846666666666678,1.713333333333324,6.846666666666678,8.858794099887877,Normal
173.1,71.4,61.46,69.02,2.074,42.779,0.891,60.12,17670.54,19829.39,67.29333333333334,4.106666666666669,5.833333333333336,1.7266666666666595,5.833333333333336,8.66851595006935,Normal
173.3,84.37,72.29,81.18,2.403,40.738,0.897,60.03,20964.54,23380.07,79.28000000000002,5.089999999999989,6.990000000000009,1.8999999999999915,6.990000000000009,8.816851664984874,Normal
